State name,LGA name,Matching name,original names in APO,matching state,,original names in APO,notes:,https://aboutnigerians.com/list-of-36-states-and-their-local-governments/#:~:text=There%20are%20774%20local%20government
Lagos,Eti-Osa,Eti-Osa,Etiosa,Lagos,1,,Eti Osa can be found on wiki and google,
Lagos,Ibeju/Lekki,Ibeju/Lekki,Ibeju Lekki,Lagos,1,,Ibeju Lekki can be found on google Ibeju-Lekki can be found on wiki,
Lagos,Ifako-Ijaye,Ifako-Ijaye,Ifako-Ijaiye,Lagos,1,,"Ifako-Ijaiye can be found on wiki, and APO seems right",
Lagos,Ikeja,Ikeja,,Lagos,1,,,
Lagos,Ikorodu,Ikorodu,,Lagos,1,,,
Lagos,Kosofe,Kosofe,,Lagos,1,,,
Lagos,Lagos Mainland,Lagos Mainland,,Lagos,1,,,
Lagos,Mushin,Mushin,,Lagos,1,,,
Lagos,Ojo,Ojo,,Lagos,1,,,
Lagos,Oshodi-Isolo,Oshodi-Isolo,Oshodi,Lagos,1,,wiki is Oshodi-Isolo and google is Oshodi/Isolo,
Lagos,Oshodi-Isolo,Oshodi-Isolo,Isolo,Lagos,1,,wiki is Oshodi-Isolo and google is Oshodi/Isolo,
Lagos,Surulere,Surulere,Surulere1,Lagos,1,,,
Nasarawa,Awe,Awe,,Nasarawa,1,,,
Nasarawa,Karu,Karu,,Nasarawa,1,,,
Kano,Nasarawa,Nasarawa,,Kano,1,Niger,,
Niger,Agaie,Agaie,,Niger,1,,,
Niger,Agwara,Agwara,Agwar a,Niger,1,,,
Niger,Borgu,Borgu,,Niger,1,,,
Niger,Chanchaga,Chanchaga,,Niger,1,,,
Niger,Edati,Edati,,Niger,1,,,
Niger,Katcha,Katcha,,Niger,1,,,
Niger,Lapai,Lapai,,Niger,1,,,
Niger,Lavun,Lavun,,Niger,1,,,
Niger,Mokwa,Mokwa,,Niger,1,,,
Niger,Muya,Muya,,Niger,1,,,
Niger,Shiroro,Shiroro,,Niger,1,,,
Niger,Suleja,Suleja,,Niger,1,,,
Ogun,Abeokuta North,Abeokuta North,,Ogun,1,,,
Ogun,Abeokuta South,Abeokuta South,,Ogun,1,,,
Ogun,Ado-Odo/Ota,Ado-Odo/Ota,Ado Odo / Ota,Ogun,1,,,
Ogun,Ijebu East,Ijebu East,ljebu East,Ogun,1,,is I not L,
Ogun,Ijebu Ode,Ijebu Ode,ljebu Ode,Ogun,1,,,
Ogun,Obafemi-Owode,Obafemi-Owode,Obefemi - Owode,Ogun,1,,,APO seems typo; Obafemi Owode can be found on wiki and google
Ogun,Shagamu,Shagamu,Sagamu,Ogun,1,,,"Sagamu can be found on wiki, Sagamu or Ishagamu is an agglomeration of thirteen towns"
Ondo,Akoko South West,Akoko South West,,Ondo,1,,,
Oyo,Egbeda,Egbeda,,Oyo,1,,,
Oyo,Ibadan North,Ibadan North,,Oyo,1,,,
Oyo,Ibadan North East,Ibadan North East, Ibadan North - East,Oyo,1,,,
Oyo,Ibadan South West,Ibadan South West,,Oyo,1,,,
Oyo,Ido,Ido,,Oyo,1,,,
Oyo,Itesiwaju,Itesiwaju,,Oyo,1,,,
Oyo,Iwajowa,Iwajowa,,Oyo,1,,,
Oyo,Kajola,Kajola,,Oyo,1,,,
Oyo,Lagelu,Lagelu,,Oyo,1,,,
Oyo,Ogo Oluwa,Ogo Oluwa,Ogo -Oluwa,Oyo,1,,,
Oyo,Ona-Ara,Ona-Ara,Ona - Ara,Oyo,1,,,
Oyo,Saki East,Saki East,,Oyo,1,,,
Rivers,Abua/Odual,Abua/Odual,Abua / Odual,Rivers,1,,,
Rivers,Ahoada East,Ahoada East,,Rivers,1,,,
Rivers,Ahoada West,Ahoada West,,Rivers,1,,,
Rivers,Andoni,Andoni,,Rivers,1,,,
Rivers,Etche,Etche,,Rivers,1,,,
Rivers,Gokana,Gokana,,Rivers,1,,,
Rivers,Ikwerre,Ikwerre,,Rivers,1,,,
Rivers,Khana,Khana,,Rivers,1,,,
Rivers,Obia/Akpor,Obia/Akpor,Obio / Akpor,Rivers,1,,,"Obio/Akpor can be found on wiki and google, APO seems right"
Rivers,Ogba/Egbema/Ndoni,Ogba/Egbema/Ndoni,,Rivers,1,,,
Rivers,Okrika,Okrika,,Rivers,1,,,
Rivers,Oyigbo,Oyigbo,,Rivers,1,,,
Rivers,Port-Harcourt,Port-Harcourt,Port Harcourt,Rivers,1,,,"API is not correct, Port Harcourt is not in Sokoto but in Rivers (we fix it)"
Sokoto,Binji,Binji,,Sokoto,1,,,
Sokoto,Gada,Gada,,Sokoto,1,,,
Sokoto,Goronyo,Goronyo,,Sokoto,1,,,
Sokoto,Kebbe,Kebbe,,Sokoto,1,,,
Sokoto,Rabah,Rabah,,Sokoto,1,,,
Sokoto,Silame,Silame,,Sokoto,1,,,
Sokoto,Sokoto North,Sokoto North,,Sokoto,1,,,
Sokoto,Sokoto South,Sokoto South,,Sokoto,1,,,
Sokoto,Tureta,Tureta,,Sokoto,1,,,
Sokoto,Wamako,Wamako,Wamakko,Sokoto,1,,,Wamako (not Wamakko) can be found in wiki but cannot find in the website and our shape file but Wamako should be located in Sokoto not Taraba
Taraba,Ardo-kola,Ardo-Kola,Ardo Kola,Taraba,1,,,
Taraba,Bali,Bali,,Taraba,1,,,
Taraba,Donga,Donga,,Taraba,1,,,
Taraba,Gashaka,Gashaka,,Taraba,1,,,
Taraba,Gassol,Gassol,,Taraba,1,,,
Taraba,Ibi,Ibi,,Taraba,1,,,
Taraba,Jalingo,Jalingo,,Taraba,1,,,
Taraba,Karim-Lamido,Karim-Lamido,Karim Lamido,Taraba,1,,,
Taraba,Kurmi,Kurmi,,Taraba,1,,,
Taraba,Lau,Lau,,Taraba,1,,,
Taraba,Sardauna,Sardauna,,Taraba,1,,,
Taraba,Takum,Takum,,Taraba,1,,,
Taraba,Ussa,Ussa,,Taraba,1,,,
Taraba,Wukari,Wukari,,Taraba,1,Yobe,,
Taraba,Yorro,Yorro,,Taraba,1,Zamfara,,
Yobe,Bade,Bade,,Yobe,1,,,Bade is in Yobe and Zamfara
Zamfara,Gummi,Gummi,,Zamfara,1,,,
Zamfara,Gusau,Gusau,,Zamfara,1,,,
Zamfara,Kaura Namoda,Kaura Namoda,Kaura - Namoda,Zamfara,1,,,
Zamfara,Zurmi,Zurmi,,Zamfara,1,,,
